#  aims_uuid : 388BC64A-2B51-4D13-AD00-6382D47B5BC3                                
#  angular momentum projected density of states for species Si as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.019886 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -12.50519751        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -12.43830788        0.00002073        0.00002058       -0.00000000        0.00000000        0.00000015
      -12.37141825        0.02939800        0.02929183       -0.00011054        0.00000591        0.00021081
      -12.30452862        0.11448978        0.11449973       -0.00084959        0.00004539        0.00079425
      -12.23763898        0.13368369        0.13381653       -0.00112643        0.00009044        0.00090316
      -12.17074935        0.15864097        0.15832858       -0.00091823        0.00017502        0.00105560
      -12.10385972        0.18669086        0.18567335       -0.00049715        0.00028995        0.00122471
      -12.03697009        0.21673604        0.21474821        0.00014759        0.00043779        0.00140244
      -11.97008045        0.24456402        0.24136865        0.00102145        0.00061236        0.00156156
      -11.90319082        0.25995600        0.25544671        0.00207981        0.00078915        0.00164033
      -11.83630119        0.26736251        0.26143215        0.00328178        0.00097658        0.00167199
      -11.76941156        0.28465838        0.27688417        0.00477331        0.00123354        0.00176736
      -11.70252193        0.30298186        0.29313339        0.00644990        0.00152992        0.00186865
      -11.63563229        0.32172925        0.30958467        0.00830830        0.00186443        0.00197185
      -11.56874266        0.34091868        0.32625137        0.01035215        0.00223830        0.00207685
      -11.50185303        0.36068053        0.34325191        0.01259061        0.00265374        0.00218427
      -11.43496340        0.37547356        0.35530770        0.01483649        0.00306837        0.00226100
      -11.36807377        0.38829746        0.36536246        0.01709283        0.00351300        0.00232916
      -11.30118413        0.40245694        0.37655385        0.01948471        0.00401059        0.00240778
      -11.23429450        0.41667068        0.38767871        0.02194907        0.00455362        0.00248928
      -11.16740487        0.43129290        0.39907666        0.02449078        0.00514952        0.00257594
      -11.10051524        0.44728000        0.41163251        0.02715996        0.00581446        0.00267307
      -11.03362561        0.46450029        0.42520714        0.02996283        0.00655109        0.00277923
      -10.96673597        0.48289660        0.43972004        0.03292271        0.00736027        0.00289358
      -10.89984634        0.50180738        0.45456792        0.03598885        0.00823841        0.00301220
      -10.83295671        0.52123262        0.46974720        0.03916125        0.00918909        0.00313508
      -10.76606708        0.54030456        0.48447319        0.04237388        0.01020008        0.00325742
      -10.69917744        0.55778337        0.49767011        0.04548922        0.01124846        0.00337557
      -10.63228781        0.57925063        0.51439725        0.04886622        0.01245980        0.00352737
      -10.56539818        0.60505043        0.53495434        0.05250773        0.01387468        0.00371368
      -10.49850855        0.63375572        0.55804753        0.05629680        0.01548508        0.00392631
      -10.43161892        0.66539985        0.58369360        0.06022648        0.01731361        0.00416617
      -10.36472928        0.70435371        0.61578577        0.06457117        0.01953529        0.00446147
      -10.29783965        0.78052708        0.68117147        0.07091271        0.02343923        0.00500367
      -10.23095002        0.86323171        0.75222026        0.07749013        0.02790985        0.00561147
      -10.16406039        0.89758485        0.77968289        0.08151483        0.03046043        0.00592670
      -10.09717076        0.88326431        0.76340745        0.08311155        0.03082137        0.00592395
      -10.03028112        0.85464699        0.73419580        0.08425288        0.03038037        0.00581793
       -9.96339149        0.94374167        0.80783339        0.09461086        0.03474465        0.00655277
       -9.89650186        0.88832245        0.75435816        0.09497280        0.03272356        0.00626793
       -9.82961223        0.83323577        0.70236092        0.09395748        0.03094994        0.00596743
       -9.76272260        0.79173845        0.66260839        0.09364822        0.02972838        0.00575346
       -9.69583296        0.76371916        0.63479350        0.09422378        0.02907013        0.00563174
       -9.62894333        0.74917790        0.61869796        0.09588212        0.02898918        0.00560864
       -9.56205370        0.73343204        0.60185058        0.09714597        0.02886110        0.00557439
       -9.49516407        0.71307477        0.58139580        0.09765485        0.02852667        0.00549745
       -9.42827443        0.69289345        0.56126736        0.09804362        0.02816968        0.00541279
       -9.36138480        0.67288809        0.54143484        0.09835217        0.02778109        0.00531999
       -9.29449517        0.65305869        0.52186783        0.09862038        0.02735187        0.00521860
       -9.22760554        0.62992067        0.49966268        0.09847788        0.02670490        0.00507521
       -9.16071591        0.60338603        0.47481802        0.09784239        0.02583977        0.00488586
       -9.09382627        0.59356205        0.46340187        0.09963435        0.02570037        0.00482547
       -9.02693664        0.58453912        0.45212083        0.10219335        0.02548576        0.00473918
       -8.96004701        0.56236568        0.43101776        0.10209447        0.02470383        0.00454962
       -8.89315738        0.52905913        0.40214378        0.09915080        0.02347882        0.00428572
       -8.82626775        0.48461947        0.36561057        0.09328691        0.02177842        0.00394357
       -8.75937811        0.50468871        0.37927785        0.09803523        0.02315734        0.00421828
       -8.69248848        0.35597737        0.26527258        0.07121641        0.01654035        0.00294803
       -8.62559885        0.21086614        0.15545058        0.04383466        0.00987859        0.00170232
       -8.55870922        0.07374398        0.05286264        0.01700236        0.00336309        0.00051590
       -8.49181959        0.02709533        0.01914104        0.00653700        0.00123823        0.00017906
       -8.42492995        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -8.35804032        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -8.29115069        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -8.22426106        0.00811189        0.00535934        0.00234328        0.00036794        0.00004133
       -8.15737142        0.02969996        0.01953745        0.00862917        0.00137769        0.00015564
       -8.09048179        0.05736756        0.03757833        0.01676002        0.00271745        0.00031176
       -8.02359216        0.09111469        0.05943471        0.02676159        0.00440274        0.00051565
       -7.95670253        0.14068478        0.09146793        0.04144227        0.00693053        0.00084404
       -7.88981290        0.25190674        0.16369164        0.07389746        0.01266075        0.00165689
       -7.82292326        0.36798248        0.23845959        0.10813969        0.01882340        0.00255979
       -7.75603363        0.48891200        0.31547403        0.14450400        0.02538072        0.00355326
       -7.68914400        0.61469530        0.39443719        0.18332541        0.03229492        0.00463778
       -7.62225437        0.59440132        0.37461634        0.18434161        0.03112152        0.00432185
       -7.55536474        0.63461544        0.39338072        0.20358866        0.03310105        0.00454501
       -7.48847510        0.65905841        0.40108525        0.21918978        0.03416893        0.00461444
       -7.42158547        0.75982863        0.45082750        0.26527727        0.03863946        0.00508439
       -7.35469584        1.17138772        0.61786810        0.50075329        0.04702945        0.00573689
       -7.28780621        1.51619880        0.75308226        0.70166874        0.05512051        0.00632728
       -7.22091658        1.60917354        0.79006631        0.75212515        0.06026323        0.00671885
       -7.15402694        1.40402548        0.68630439        0.65682080        0.05492994        0.00597035
       -7.08713731        1.05607775        0.52331583        0.48325889        0.04467962        0.00482342
       -7.02024768        0.92836431        0.45830676        0.42488227        0.04087244        0.00430285
       -6.95335805        0.83979666        0.41309972        0.38433856        0.03840210        0.00395628
       -6.88646841        0.76950405        0.37686698        0.35253502        0.03642484        0.00367721
       -6.81957878        0.71166562        0.34632327        0.32720391        0.03470923        0.00342922
       -6.75268915        0.66202697        0.31976081        0.30587886        0.03318027        0.00320703
       -6.68579952        0.60081265        0.28801298        0.27896808        0.03090748        0.00292412
       -6.61890989        0.56148945        0.26716387        0.26192318        0.02965538        0.00274702
       -6.55202025        0.53858244        0.25486720        0.25178436        0.02926219        0.00266869
       -6.48513062        0.51831141        0.24386018        0.24292156        0.02893087        0.00259880
       -6.41824099        0.50003937        0.23377861        0.23509506        0.02863267        0.00253302
       -6.35135136        0.48348794        0.22447598        0.22817896        0.02836281        0.00247019
       -6.28446173        0.46732840        0.21538204        0.22148263        0.02805849        0.00240524
       -6.21757209        0.45130946        0.20639519        0.21486806        0.02770862        0.00233758
       -6.15068246        0.43543112        0.19751130        0.20833864        0.02731384        0.00226734
