#  aims_uuid : 388BC64A-2B51-4D13-AD00-6382D47B5BC3                                
#  angular momentum projected density of states for species Si as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -14.64882943        0.74917790        0.61869796        0.09588212        0.02898918        0.00560864
      -14.58193980        0.73343204        0.60185058        0.09714597        0.02886110        0.00557439
      -14.51505017        0.71307477        0.58139580        0.09765485        0.02852667        0.00549745
      -14.44816054        0.69289345        0.56126736        0.09804362        0.02816968        0.00541279
      -14.38127090        0.67288809        0.54143484        0.09835217        0.02778109        0.00531999
      -14.31438127        0.65305869        0.52186783        0.09862038        0.02735187        0.00521860
      -14.24749164        0.62992067        0.49966268        0.09847788        0.02670490        0.00507521
      -14.18060201        0.60338603        0.47481802        0.09784239        0.02583977        0.00488586
      -14.11371237        0.59356205        0.46340187        0.09963435        0.02570037        0.00482547
      -14.04682274        0.58453912        0.45212083        0.10219335        0.02548576        0.00473918
      -13.97993311        0.56236568        0.43101776        0.10209447        0.02470383        0.00454962
      -13.91304348        0.52905913        0.40214378        0.09915080        0.02347882        0.00428572
      -13.84615385        0.48461947        0.36561057        0.09328691        0.02177842        0.00394357
      -13.77926421        0.50468871        0.37927785        0.09803523        0.02315734        0.00421828
      -13.71237458        0.35597737        0.26527258        0.07121641        0.01654035        0.00294803
      -13.64548495        0.21086614        0.15545058        0.04383466        0.00987859        0.00170232
      -13.57859532        0.07374398        0.05286264        0.01700236        0.00336309        0.00051590
      -13.51170569        0.02709533        0.01914104        0.00653700        0.00123823        0.00017906
      -13.44481605        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -13.37792642        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -13.31103679        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -13.24414716        0.00811189        0.00535934        0.00234328        0.00036794        0.00004133
      -13.17725753        0.02969996        0.01953745        0.00862917        0.00137769        0.00015564
      -13.11036789        0.05736756        0.03757833        0.01676002        0.00271745        0.00031176
      -13.04347826        0.09111469        0.05943471        0.02676159        0.00440274        0.00051565
      -12.97658863        0.14068478        0.09146793        0.04144227        0.00693053        0.00084404
      -12.90969900        0.25190674        0.16369164        0.07389746        0.01266075        0.00165689
      -12.84280936        0.36798248        0.23845959        0.10813969        0.01882340        0.00255979
      -12.77591973        0.48891200        0.31547403        0.14450400        0.02538072        0.00355326
      -12.70903010        0.61469530        0.39443719        0.18332541        0.03229492        0.00463778
      -12.64214047        0.59440132        0.37461634        0.18434161        0.03112152        0.00432185
      -12.57525084        0.63461544        0.39338072        0.20358866        0.03310105        0.00454501
      -12.50836120        0.65905841        0.40108525        0.21918978        0.03416893        0.00461444
      -12.44147157        0.75982863        0.45082750        0.26527727        0.03863946        0.00508439
      -12.37458194        1.17138772        0.61786810        0.50075329        0.04702945        0.00573689
      -12.30769231        1.51619880        0.75308226        0.70166874        0.05512051        0.00632728
      -12.24080268        1.60917354        0.79006631        0.75212515        0.06026323        0.00671885
      -12.17391304        1.40402548        0.68630439        0.65682080        0.05492994        0.00597035
      -12.10702341        1.05607775        0.52331583        0.48325889        0.04467962        0.00482342
      -12.04013378        0.92836431        0.45830676        0.42488227        0.04087244        0.00430285
      -11.97324415        0.83979666        0.41309972        0.38433856        0.03840210        0.00395628
      -11.90635452        0.76950405        0.37686698        0.35253502        0.03642484        0.00367721
      -11.83946488        0.71166562        0.34632327        0.32720391        0.03470923        0.00342922
      -11.77257525        0.66202697        0.31976081        0.30587886        0.03318027        0.00320703
      -11.70568562        0.60081265        0.28801298        0.27896808        0.03090748        0.00292412
      -11.63879599        0.56148945        0.26716387        0.26192318        0.02965538        0.00274702
      -11.57190635        0.53858244        0.25486720        0.25178436        0.02926219        0.00266869
