#  aims_uuid : 4CF4697B-F09B-4DB5-AAA9-BCDA3D746416                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -8.83138564       11.74054283        0.19654605       10.65935479        0.77902481        0.10561717
       -8.81469115       13.51850228        0.22032674       12.25363605        0.92260061        0.12193887
       -8.79799666       15.42633905        0.23743625       14.03373928        1.01700489        0.13815863
       -8.78130217       15.78988711        0.23286691       14.43047187        0.98180754        0.14474080
       -8.76460768       17.13116562        0.25707837       15.65518840        1.05376692        0.16513193
       -8.74791319       17.42412246        0.27977839       15.91207310        1.06802673        0.16424425
       -8.73121870       15.88286219        0.25926625       14.45277976        1.02176883        0.14904736
       -8.71452421       18.22536020        0.25746366       16.55701412        1.21635710        0.19452532
       -8.69782972       19.21093512        0.25393433       17.42516717        1.33383656        0.19799707
       -8.68113523       15.84116365        0.21295596       14.42352983        1.03986508        0.16481278
       -8.66444073       16.20866018        0.18507896       14.74629953        1.10135057        0.17593112
       -8.64774624       21.01126085        0.23951506       19.04211558        1.49741279        0.23221742
       -8.63105175       28.50302370        0.37278354       26.15983775        1.65972880        0.31067361
       -8.61435726       12.99844609        0.14401803       11.74384166        0.94024573        0.17034067
       -8.59766277       12.88361714        0.12668801       11.61348581        0.98087465        0.16256867
       -8.58096828       11.20792166        0.11114801       10.05730703        0.90931587        0.13015074
       -8.56427379        7.67384728        0.05489878        6.88472327        0.64287927        0.09134597
       -8.54757930        8.70233202        0.11613055        7.86837206        0.61622710        0.10160232
       -8.53088481       12.07428787        0.14876539       10.88431456        0.89854637        0.14266155
       -8.51419032       16.87718090        0.19808502       15.22815443        1.23226335        0.21867810
       -8.49749583       20.44958095        0.26294717       18.36002372        1.56233310        0.26427695
       -8.48080134       22.05402415        0.26693952       19.99581478        1.54418276        0.24708710
       -8.46410684       18.79746855        0.19085495       16.89641769        1.43197980        0.27821611
       -8.44741235       17.75033539        0.20791601       16.01121530        1.29314825        0.23805583
       -8.43071786       14.82858166        0.17710739       13.40081617        1.06730084        0.18335727
       -8.41402337       14.07303337        0.18132751       12.70994232        1.02034150        0.16142204
       -8.39732888       15.39616710        0.21252853       13.92129738        1.07790912        0.18443207
       -8.38063439       16.29689101        0.24638930       14.76018481        1.09911616        0.19120074
       -8.36393990       19.88080108        0.38528978       18.01250189        1.25487889        0.22813051
       -8.34724541       20.63267315        0.28889155       18.70285185        1.39617845        0.24475131
       -8.33055092       19.87202486        0.27264256       18.00926283        1.34728862        0.24283085
       -8.31385643       23.44810507        0.42642262       21.28090500        1.47532610        0.26545134
       -8.29716194       26.51271646        0.69130562       24.12087831        1.44129416        0.25923837
       -8.28046745       32.65492387        0.57352600       29.76002245        1.96812998        0.35324545
       -8.26377295       39.37981118        0.71648109       35.88651056        2.36102400        0.41579552
       -8.24707846       32.44232363        0.62125298       29.61511882        1.83786765        0.36808418
       -8.23038397       33.40966034        1.04064539       30.51587025        1.55466020        0.29848450
       -8.21368948       34.67860178        1.03015701       31.63267167        1.71178344        0.30398966
       -8.19699499       36.57902687        1.23146206       33.32008347        1.71507300        0.31240834
       -8.18030050       41.39667278        1.53405623       37.74455563        1.76612500        0.35193592
       -8.16360601       38.80258688        1.60318693       35.67723665        1.23395741        0.28820589
       -8.14691152       37.56393070        1.61230373       34.60924787        1.08445158        0.25792752
       -8.13021703       35.08417507        1.49040716       32.43728486        0.91507469        0.24140836
       -8.11352254       36.31476583        1.44236172       33.66027326        0.95861848        0.25351237
       -8.09682805       46.66901597        1.87139754       43.22695641        1.24469731        0.32596471
       -8.08013356       36.83230316        1.07670285       33.89475987        1.54499213        0.31584830
       -8.06343907       40.70515789        1.45565146       37.57033127        1.37516786        0.30400730
       -8.04674457       43.47267970        1.63245706       40.11578853        1.41226863        0.31216548
       -8.03005008       45.16224109        1.65515905       41.90100809        1.29062365        0.31545030
       -8.01335559       69.59745608        2.96159282       64.80035080        1.42194784        0.41356461
       -7.99666110       54.80994106        2.20641403       51.07276040        1.19554728        0.33521935
       -7.97996661       73.06381140        2.83478364       68.12024791        1.65230325        0.45647660
       -7.96327212       61.96886785        2.26278883       57.71293134        1.59036913        0.40277855
       -7.94657763       54.41695047        1.75989268       50.63672721        1.60046047        0.41987012
       -7.92988314       42.60051020        1.54017445       39.78194019        1.01405129        0.26434426
       -7.91318865       53.41792316        2.00918214       49.68281555        1.39583558        0.33008990
       -7.89649416       52.01656718        1.89740832       48.51564606        1.27172039        0.33179242
       -7.87979967       35.93365253        1.04134317       33.33414023        1.26728336        0.29088578
       -7.86310518       41.59609408        1.23546484       38.77006426        1.28820600        0.30235897
       -7.84641068       41.16419976        1.12750852       38.43303664        1.29126548        0.31238911
       -7.82971619       46.21472154        1.43310601       43.05287226        1.40244893        0.32629434
       -7.81302170       34.38360411        1.17182561       32.22217282        0.77834211        0.21126357
       -7.79632721       30.40627095        0.91869865       28.46389080        0.81585860        0.20782290
       -7.77963272       30.43663805        0.96740375       28.52496739        0.74570189        0.19856502
       -7.76293823       28.58465335        0.87227493       26.81093544        0.71023635        0.19120663
       -7.74624374       29.43873585        0.78031424       27.59174080        0.85379872        0.21288210
       -7.72954925       31.05130096        0.78203909       29.07283724        0.96589177        0.23053285
       -7.71285476       30.42982828        0.83659843       28.53253484        0.85083524        0.20985977
       -7.69616027       32.65449515        0.99712613       30.57668032        0.86888281        0.21180589
       -7.67946578       27.35405691        0.81155160       25.47597524        0.87255944        0.19397063
       -7.66277129       25.88257041        0.84876130       24.14081014        0.73312151        0.15987747
       -7.64607679       26.97981919        0.69426901       25.28789232        0.79717797        0.20047990
       -7.62938230       28.27771243        0.74984627       26.52511860        0.79501246        0.20773510
       -7.61268781       37.20407705        1.01100668       35.02625517        0.91137395        0.25544125
       -7.59599332       36.49469276        0.94756462       34.48526516        0.82520022        0.23666275
       -7.57929883       33.55103303        0.83612957       31.69187448        0.79910746        0.22392152
       -7.56260434       28.44495971        0.63723077       26.86246438        0.74530684        0.19995772
       -7.54590985       28.73841307        0.65782735       27.12573738        0.74954707        0.20530127
       -7.52921536       26.95997940        0.58019905       25.39047682        0.77577499        0.21352854
       -7.51252087       28.42158562        0.62583108       26.83527826        0.75282547        0.20765081
       -7.49582638       27.07418246        0.61252316       25.70511813        0.58911285        0.16742832
       -7.47913189       28.19041179        0.64826974       26.55420420        0.78095921        0.20697865
       -7.46243740       28.98379338        0.68282103       27.62419795        0.51418400        0.16259040
       -7.44574290       26.11356125        0.56055723       24.71932820        0.64725945        0.18641637
       -7.42904841       31.34790470        0.82940117       29.78590136        0.57046251        0.16213967
       -7.41235392       26.21684016        0.60481231       25.04697717        0.43545326        0.12959743
       -7.39565943       28.67197059        0.61642230       27.38743096        0.51419790        0.15391944
       -7.37896494       33.77085381        0.72848428       31.95711420        0.88006295        0.20519238
       -7.36227045       48.37784495        0.75309717       46.12645370        1.17245597        0.32583811
       -7.34557596       23.90948904        0.41626131       22.81463645        0.55190718        0.12668410
       -7.32888147       28.48772118        0.43083394       26.97876542        0.88867437        0.18944744
       -7.31218698       39.40161032        0.71220957       37.41177986        1.06465871        0.21296218
       -7.29549249       29.92714481        0.52204921       28.45426773        0.77720428        0.17362359
       -7.27879800       32.77693016        0.48937683       31.05597952        1.00034472        0.23122908
       -7.26210351       24.60800203        0.34282416       23.41404527        0.67339556        0.17773704
       -7.24540902       29.13145945        0.46021386       27.67936614        0.82262052        0.16925893
       -7.22871452       27.60383117        0.46360319       26.26836362        0.73982204        0.13204232
       -7.21202003       52.44567845        0.76022598       49.93117349        1.49949082        0.25478815
       -7.19532554       27.23557047        0.35827462       25.92813408        0.81469878        0.13446299
       -7.17863105       28.46372552        0.44528473       27.35189098        0.58214922        0.08440059
       -7.16193656       34.44871645        0.47971649       33.07095027        0.78305395        0.11499574
       -7.14524207       21.35987302        0.27461100       20.49762777        0.51563971        0.07199455
       -7.12854758       15.00811329        0.22228916       14.33239015        0.38743309        0.06600088
       -7.11185309       18.67128898        0.24969676       17.59162188        0.69847239        0.13149795
       -7.09515860       17.71609669        0.31104121       16.21934768        0.95887564        0.22683216
       -7.07846411       15.23533108        0.24869173       13.66703519        1.03889455        0.28070961
       -7.06176962        7.76871762        0.22314346        6.18411140        1.05422942        0.30723334
       -7.04507513       12.15905631        0.33743371        9.67914662        1.66023211        0.48224387
       -7.02838063        7.92253974        0.23666816        6.20889216        1.13897698        0.33800244
       -7.01168614        8.58183034        0.24466371        6.78510690        1.18766206        0.36439767
       -6.99499165        8.94551449        0.19976721        7.43275332        0.98525649        0.32773747
       -6.97829716       10.61383721        0.27656782        8.45443838        1.44745963        0.43537138
       -6.96160267        8.65042867        0.25285863        6.66079910        1.34607554        0.39069541
       -6.94490818       10.64110538        0.37724742        7.84478674        1.88670451        0.53236672
       -6.92821369        9.03544901        0.25074286        7.04706716        1.32856030        0.40907868
       -6.91151920       10.44411345        0.34451861        7.89804388        1.70197144        0.49957953
       -6.89482471       12.60853840        0.35506488        9.95054039        1.74104719        0.56188595
       -6.87813022       17.06501435        0.58288640       13.17405338        2.53272368        0.77535089
       -6.86143573       14.40940797        0.30906448       12.25415463        1.35715569        0.48903317
       -6.84474124       24.14296159        0.74744253       19.81405128        2.64570978        0.93575800
       -6.82804674       20.57369478        0.49375745       17.07587570        2.23110391        0.77295772
       -6.81135225       17.44026196        0.39698893       14.56901806        1.81597259        0.65828237
       -6.79465776       20.81422333        0.69364708       16.63893027        2.66469188        0.81695409
       -6.77796327       19.72765820        0.50030354       15.76412181        2.62211853        0.84111433
       -6.76126878       15.31562093        0.31654806       12.34850614        1.99645120        0.65411553
       -6.74457429       11.48186316        0.28397246        9.36142879        1.34562707        0.49083484
       -6.72787980       12.23654444        0.34542053        9.75719564        1.60427842        0.52964985
       -6.71118531       14.68442692        0.30105650       12.00738142        1.74905453        0.62693447
       -6.69449082       18.98824260        0.37615211       15.97112955        1.97745677        0.66350417
