#  aims_uuid : 4CF4697B-F09B-4DB5-AAA9-BCDA3D746416                                
#  angular momentum projected density of states for species Pb as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -8.84808013        0.00014095        0.00001925        0.00011415        0.00000618        0.00000116        0.00000022
       -8.83138564        0.00016005        0.00001956        0.00013235        0.00000653        0.00000137        0.00000024
       -8.81469115        0.00020628        0.00002318        0.00017285        0.00000807        0.00000187        0.00000031
       -8.79799666        0.00030864        0.00003285        0.00026070        0.00001170        0.00000293        0.00000047
       -8.78130217        0.00044428        0.00004183        0.00038208        0.00001562        0.00000415        0.00000060
       -8.76460768        0.00084629        0.00004324        0.00077260        0.00002116        0.00000853        0.00000076
       -8.74791319        0.00165085        0.00005240        0.00155025        0.00002996        0.00001725        0.00000099
       -8.73121870        0.00278859        0.00006184        0.00265596        0.00003965        0.00002989        0.00000125
       -8.71452421        0.00621736        0.00010273        0.00597649        0.00006905        0.00006701        0.00000209
       -8.69782972        0.01670001        0.00019633        0.01618483        0.00013634        0.00017864        0.00000387
       -8.68113523        0.03622874        0.00042999        0.03513206        0.00027867        0.00038068        0.00000734
       -8.66444073        0.08185610        0.00113856        0.07913665        0.00072739        0.00083562        0.00001790
       -8.64774624        0.80196352        0.00832006        0.78184338        0.00357381        0.00814135        0.00008493
       -8.63105175        0.42290500        0.00826660        0.40487005        0.00540994        0.00421458        0.00014382
       -8.61435726        0.35346244        0.01102781        0.32723975        0.01135839        0.00349350        0.00034299
       -8.59766277        0.59168903        0.01350765        0.55712992        0.01421698        0.00639092        0.00044356
       -8.58096828        0.60219271        0.01744714        0.56069451        0.01725541        0.00629181        0.00050385
       -8.56427379        2.01828376        0.01337850        1.96258122        0.02124110        0.02057006        0.00051287
       -8.54757930        0.79502692        0.01526528        0.75559569        0.01505112        0.00874021        0.00037462
       -8.53088481        0.68828841        0.01423413        0.65425477        0.01265892        0.00682703        0.00031356
       -8.51419032        0.84025388        0.01391729        0.80492411        0.01198541        0.00913073        0.00029635
       -8.49749583        1.50468088        0.03345237        1.43735893        0.01914720        0.01428032        0.00044207
       -8.48080134        0.85324629        0.01644532        0.81961537        0.00797679        0.00895077        0.00025803
       -8.46410684        4.03878484        0.04103781        3.93013758        0.02222405        0.04484456        0.00054082
       -8.44741235        2.93766653        0.03985044        2.84527938        0.02064805        0.03140343        0.00048523
       -8.43071786        2.27281994        0.03883688        2.18965187        0.01993670        0.02390513        0.00048936
       -8.41402337        1.70683538        0.02628284        1.64650067        0.01461601        0.01906429        0.00037156
       -8.39732888        1.52840677        0.02403640        1.47195248        0.01524419        0.01681030        0.00036341
       -8.38063439        1.79290361        0.03271591        1.72033112        0.02005242        0.01933772        0.00046643
       -8.36393990        1.00676269        0.02316073        0.95642449        0.01697198        0.00983162        0.00037386
       -8.34724541        0.99920921        0.03704563        0.93653871        0.01660948        0.00863140        0.00038400
       -8.33055092        1.26350747        0.05132901        1.18184909        0.01963186        0.01023608        0.00046142
       -8.31385643        1.27135866        0.04539620        1.19634901        0.01864639        0.01053487        0.00043219
       -8.29716194        1.91356219        0.05700553        1.81004264        0.02962288        0.01623564        0.00065550
       -8.28046745        3.23431552        0.07036773        3.07887761        0.05768248        0.02618354        0.00120415
       -8.26377295        1.62004338        0.03762545        1.54206487        0.02608619        0.01372353        0.00054334
       -8.24707846        1.53721605        0.02900504        1.46891927        0.02659811        0.01214487        0.00054876
       -8.23038397        3.18909909        0.05364518        3.06059579        0.05093491        0.02283463        0.00108859
       -8.21368948        3.66585090        0.09147406        3.49442311        0.05093857        0.02787989        0.00113528
       -8.19699499        2.76666455        0.11040043        2.59571227        0.03785929        0.02178339        0.00090917
       -8.18030050        2.00161957        0.08048149        1.87438773        0.03008379        0.01597415        0.00069241
       -8.16360601        1.75695830        0.07198924        1.63347957        0.03672787        0.01393649        0.00082513
       -8.14691152        2.24585949        0.10406373        2.07433448        0.04973067        0.01657139        0.00115923
       -8.13021703        1.88817506        0.08719802        1.74514474        0.04215165        0.01274167        0.00093898
       -8.11352254        1.20718215        0.05911447        1.10267020        0.03648575        0.00818368        0.00072805
       -8.09682805        1.85146172        0.08875228        1.68215567        0.06643198        0.01284214        0.00127965
       -8.08013356        1.03399594        0.06192609        0.92427807        0.03997026        0.00699662        0.00082489
       -8.06343907        1.66121537        0.08146158        1.50101609        0.06514694        0.01225914        0.00133162
       -8.04674457        3.31287435        0.09863393        3.12141392        0.05407522        0.03727891        0.00147237
       -8.03005008        1.26504482        0.02814509        1.19737504        0.02223657        0.01682148        0.00046663
       -8.01335559        4.02760324        0.11765540        3.74750794        0.10849992        0.05108650        0.00285347
       -7.99666110        1.88897652        0.10872835        1.69635824        0.06794518        0.01442144        0.00152331
       -7.97996661        1.20236962        0.09746088        1.04460063        0.05326491        0.00594531        0.00109789
       -7.96327212        0.97778353        0.04920197        0.89089204        0.02903087        0.00782884        0.00082981
       -7.94657763        2.34838273        0.11578271        2.12449598        0.08436703        0.02129519        0.00244181
       -7.92988314        2.05265102        0.05630280        1.88345779        0.08574447        0.02463670        0.00250926
       -7.91318865        2.57124148        0.05738205        2.35941889        0.12383828        0.02687053        0.00373173
       -7.89649416        2.85569366        0.18687876        2.50799677        0.13347842        0.02366007        0.00367963
       -7.87979967        3.00651543        0.26079559        2.61528817        0.10695339        0.02043545        0.00304284
       -7.86310518        1.95094238        0.14639389        1.71462321        0.07157087        0.01643923        0.00191519
       -7.84641068        1.02330038        0.08476793        0.89029679        0.03994286        0.00717908        0.00111371
       -7.82971619        1.56916401        0.15378434        1.35356038        0.05191960        0.00809139        0.00180830
       -7.81302170        1.38444284        0.09897153        1.20356023        0.06805307        0.01179424        0.00206378
       -7.79632721        1.02238874        0.08881545        0.87721355        0.04806803        0.00666816        0.00162354
       -7.77963272        0.77317425        0.07686997        0.64678930        0.04330810        0.00483455        0.00137233
       -7.76293823        0.92613706        0.09741206        0.76131074        0.05960189        0.00599322        0.00181915
       -7.74624374        0.83765374        0.08453780        0.68646989        0.05909442        0.00575215        0.00179947
